ID;DescriĂ§ĂŁo;Categoria;Fornecedor;Quantidade;Valor Custo;Valor Recomendado;imei;Loja
;PARTYBOX ULTIMATE;Áudio;;1;R$ 6.350,00;R$ 6.450,00;GG1186-LO0014209;Águas Lindas Shopping
;PARTYBOX WIRELESS MIC;Áudio;;1;R$ 650,00;R$ 750,00;SL0001-GP0605433;Águas Lindas Shopping
;PARTYBOX WIRELESS MIC;Áudio;;1;R$ 620,00;R$ 720,00;SL0001-GP0603034;Águas Lindas Shopping
;KIT CARREGADOR 25W;Carregadores;;1;R$ 120,84;R$ 225,00;RF7X5B81K71RTB;Águas Lindas Shopping
;KIT CARREGADOR 25W;Carregadores;;1;R$ 120,84;R$ 225,00;RF7X5Q20CR1RTB;Águas Lindas Shopping
;KIT CARREGADOR 25W;Carregadores;;1;R$ 121,99;R$ 199,00;RF7X6D6QDJ2RTB;Águas Lindas Shopping
;PELICULA 9D 17 PRO MAX;Películas;;;R$ 1,50;R$ 40;;Águas Lindas Shopping
;PELICULA 9D 17 PRO;Películas;;;R$ 1,50;R$ 40,00;;Águas Lindas Shopping
;PELICULA 9D 17 AIR;Películas;;;R$ 1,50;R$ 40;;Águas Lindas Shopping
;PELICULA 9D 17;Películas;;;R$ 1,50;R$ 40;;Águas Lindas Shopping
;PELICULA 9D 16 PRO MAX;Películas;;72;R$ 1,50;R$ 40;;Águas Lindas Shopping
;PELICULA 9D 16 PRO ;Películas;;46;R$ 1,50;R$ 40;;Águas Lindas Shopping
;PELICULA 9D 16;Películas;;41;R$ 1,50;R$ 40;;Águas Lindas Shopping
;PELICULA 9D 15 PRO MAX;Películas;;40;R$ 1,50;R$ 40;;Águas Lindas Shopping
;PELICULA 9D 15/15 PRO;Películas;;55;R$ 1,50;R$ 40;;Águas Lindas Shopping
;PELICULA 9D 14 PRO MAX;Películas;;;R$ 1,50;R$ 40;;Águas Lindas Shopping
;PELICULA 9D 14 PRO;Películas;;;R$ 1,50;R$ 40;;Águas Lindas Shopping
;PELICULA 9D 14;Películas;;;R$ 1,50;R$ 40;;Águas Lindas Shopping
;PELICULA 9D 13 PRO MAX;Películas;;;R$ 1,50;R$ 40;;Águas Lindas Shopping
;PELICULA 9D 13 PRO ;Películas;;;R$ 1,50;R$ 40;;Águas Lindas Shopping
;PELICULA 9D 13;Películas;;;R$ 1,50;R$ 40;;Águas Lindas Shopping
;PELICULA 9D 12 PRO MAX;Películas;;;R$ 1,50;R$ 40;;Águas Lindas Shopping
;PELICULA 9D 12/12 PRO;Películas;;42;R$ 1,50;R$ 40;;Águas Lindas Shopping
;PELICULA 9D 11 PRO MAX;Películas;;;R$ 1,50;R$ 40;;Águas Lindas Shopping
;PELICULA 9D 11 PRO;Películas;;;R$ 1,50;R$ 40;;Águas Lindas Shopping
;PELICULA 9D 11;Películas;;45;R$ 1,50;R$ 40;;Águas Lindas Shopping
;PELICULA 9D 8 PLUS;Películas;;;R$ 1,50;R$ 40;;Águas Lindas Shopping
;PELICULA 9D 7/8;Películas;;;R$ 1,50;R$ 40;;Águas Lindas Shopping
;KIT CARREGADOR T108UC;Carregadores;;7;R$ 13;R$ 50;;Águas Lindas Shopping
;KIT CARREGADOR KIMASTER 15W  LIGHTINING ;Carregadores;;21;R$ 15;R$ 40;;Águas Lindas Shopping
;KIT CARREGADOR KIMASTER 15W TYPEC ;Carregadores;;17;R$ 15;R$ 40;;Águas Lindas Shopping
;KIT CARREGADOR KIMASTER 40W LIGHTNING ;Carregadores;;20;R$ 18;R$ 60;;Águas Lindas Shopping
;POWER BANK MAGSAFE 5000MAH ;Carregadores;;8;R$ 65;R$ 120;;Águas Lindas Shopping
;POWER BANK MAGSAFE 10000MAH;Carregadores;;;R$ 85;R$ 150;;Águas Lindas Shopping
;POWER BANK 10000MAH PEINING;Carregadores;;7;R$ 75;R$ 180;;Águas Lindas Shopping
;POWER BANK 10000MAH ESPADA;Carregadores;;1;R$ 55;R$ 100;;Águas Lindas Shopping
;POWER BANK 20000MAH ÁGOLD;Carregadores;;1;R$ 95;R$ 199;;Águas Lindas Shopping
;POWER BANK 30000MAH PEINING;Carregadores;;1;R$ 100;R$ 190;;Águas Lindas Shopping
;FONE KIMASTER TWS350;Áudio;;15;R$ 48;R$ 100;;Águas Lindas Shopping
;FONE KIMASTER TWS300;Áudio;;13;R$ 45;R$ 100;;Águas Lindas Shopping
;SUPORTE MAGNETICO  ÁGOLD;Acessórios - Geral;;3;R$ 15;R$ 30;;Águas Lindas Shopping
;MOUSE ERGONOMIC ;Periféricos ;;2;R$ 65;R$ 110;;Águas Lindas Shopping
;KIT CARREGADOR SAMSUNG;Carregadores;;3;R$ 35;R$ 70;;Águas Lindas Shopping
;FONE COM FIO TYPEC;Áudio;;2;R$ 15;R$ 30;;Águas Lindas Shopping
;MICROFONE DE LAPELLA FAM;Áudio;;4;R$ 100;R$ 180;;Águas Lindas Shopping
;MICROFONE DE LAPELLA ÁGOLD;Áudio;;2;R$ 85;R$ 150;;Águas Lindas Shopping
;MICROFONE DE LAPELLA PEINING;Áudio;;1;R$ 80;R$ 150;;Águas Lindas Shopping
;MICROFONE DE LAPELLA ONISTEK ;Áudio;;2;R$ 75;R$ 120;;Águas Lindas Shopping
;SUPORTE 360;Acessórios - Geral;;2;R$ 75;R$ 150;;Águas Lindas Shopping
;LUZ DE SELFIE ;Acessórios - Geral;;3;R$ 45;R$ 80;;Águas Lindas Shopping
;TRAVA ANTI-FURTO ;Acessórios - Geral;;3;R$ 25;R$ 50;;Águas Lindas Shopping
;CHIP CLARO;Acessórios - Geral;;1;R$ 1,00;R$ 39,90;89550532990208508512;Águas Lindas Shopping
;CHIP CLARO;Acessórios - Geral;;1;R$ 1,00;R$ 39,90;89550532990208508504;Águas Lindas Shopping
;CHIP CLARO;Acessórios - Geral;;1;R$ 1,00;R$ 39,90;89550532990208508496;Águas Lindas Shopping
;CHIP CLARO;Acessórios - Geral;;1;R$ 1,00;R$ 39,90;89550532990208508488;Águas Lindas Shopping
;CHIP CLARO;Acessórios - Geral;;1;R$ 1,00;R$ 39,90;89550532990208508470;Águas Lindas Shopping
;CHIP CLARO;Acessórios - Geral;;1;R$ 1,00;R$ 39,90;89550532990208508462;Águas Lindas Shopping
;CHIP CLARO;Acessórios - Geral;;1;R$ 1,00;R$ 39,90;89550532990208508454;Águas Lindas Shopping
;CHIP CLARO;Acessórios - Geral;;1;R$ 1,00;R$ 39,90;89550532990208508447;Águas Lindas Shopping
;CHIP CLARO;Acessórios - Geral;;1;R$ 1,00;R$ 39,90;89550532990208508439;Águas Lindas Shopping
;CHIP CLARO;Acessórios - Geral;;1;R$ 1,00;R$ 39,90;89550532990208508421;Águas Lindas Shopping
;CHIP CLARO;Acessórios - Geral;;1;R$ 1,00;R$ 39,90;89550532990208508413;Águas Lindas Shopping
;CHIP CLARO;Acessórios - Geral;;1;R$ 1,00;R$ 39,90;89550532990208508397;Águas Lindas Shopping
;CHIP CLARO;Acessórios - Geral;;1;R$ 1,00;R$ 39,90;89550532990208508389;Águas Lindas Shopping
;CHIP CLARO;Acessórios - Geral;;1;R$ 1,00;R$ 39,90;89550532990208508371;Águas Lindas Shopping
;CHIP CLARO;Acessórios - Geral;;1;R$ 1,00;R$ 39,90;89550532990208508363;Águas Lindas Shopping
;CASE C/MAGSAFE 17 PRO MAX;Capas;;25;R$ 9,50;R$ 50,00;;Águas Lindas Shopping
;CASE C/MAGSAFE 17 PRO;Capas;;33;R$ 6,30;R$ 30;;Águas Lindas Shopping
;CASE C/MAGSAFE 17 AIR;Capas;;51;R$ 6,30;R$ 40;;Águas Lindas Shopping
;CASE C/MAGSAFE 17;Capas;;52;R$ 6,30;R$ 40;;Águas Lindas Shopping
;CASE C/MAGSAFE 16 PRO MAX;Capas;;38;R$ 6,30;R$ 40;;Águas Lindas Shopping
;CASE C/MAGSAFE 16 PRO;Capas;;27;R$ 6,30;R$ 40;;Águas Lindas Shopping
;CASE C/MAGSAFE 16;Capas;;48;R$ 6,30;R$ 40;;Águas Lindas Shopping
;CASE C/MAGSAFE 15 PRO MAX;Capas;;2;R$ 6,30;R$ 40;;Águas Lindas Shopping
;CASE C/MAGSAFE 15 PRO;Capas;;21;R$ 6,30;R$ 40;;Águas Lindas Shopping
;CASE C/MAGSAFE 15 ;Capas;;54;R$ 6,30;R$ 40;;Águas Lindas Shopping
;CASE C/MAGSAFE 14 PRO MAX;Capas;;4;R$ 6,30;R$ 40;;Águas Lindas Shopping
;CASE C/MAGSAFE 14 PRO;Capas;;20;R$ 6,30;R$ 40;;Águas Lindas Shopping
;CASE C/MAGSAFE 14;Capas;;;R$ 6,30;R$ 40;;Águas Lindas Shopping
;CASE C/MAGSAFE 13 PRO MAX;Capas;;4;R$ 6,30;R$ 40;;Águas Lindas Shopping
;CASE C/MAGSAFE 13 PRO;Capas;;15;R$ 6,30;R$ 40;;Águas Lindas Shopping
;CASE C/MAGSAFE 13;Capas;;20;R$ 6,30;R$ 40;;Águas Lindas Shopping
;CASE C/MAGSAFE 12 PRO MAX;Capas;;;R$ 6,30;R$ 40;;Águas Lindas Shopping
;CASE C/MAGSAFE 12/12 PRO;Capas;;20;R$ 6,30;R$ 40;;Águas Lindas Shopping
;CASE C/MAGSAFE 11 PRO MAX;Capas;;20;R$ 6,30;R$ 40;;Águas Lindas Shopping
;CASE C/MAGSAFE 11 PRO;Capas;;;R$ 6,30;R$ 40;;Águas Lindas Shopping
;CASE C/MAGSAFE 11;Capas;;20;R$ 6,30;R$ 40;;Águas Lindas Shopping
;JBL PARTY BOX STAGE 320;Áudio;;1;R$ 2.900,00;R$ 3.000,00;HA0028-AQ0028346;Águas Lindas Shopping
;JBL PARTYBOX CLUB 120;Áudio;;1;R$ 1.950,00;R$ 2.050,00;HA0027-JP0034207;Águas Lindas Shopping
;CAPA ACRILICO 17 PRO MAX;Capas;;2;R$ 20;R$ 50;;Águas Lindas Shopping
;CAPA ACRILICO 17 PRO;Capas;;7;R$ 20;R$ 50;;Águas Lindas Shopping
;CAPA PHONE CASE 15;Capas;;1;R$ 18;R$ 30;;Águas Lindas Shopping
;CAPA PHONE CASE 15 PRO;Capas;;1;R$ 18;R$ 30;;Águas Lindas Shopping
;CAPA PHONE CASE 15 PRO MAX;Capas;;2;R$ 18;R$ 30;;Águas Lindas Shopping
;CAPA PHONE CASE 16;Capas;;7;R$ 18;R$ 30;;Águas Lindas Shopping
;CAPA PHONE 16 PRO MAX;Capas;;1;R$ 18;R$ 30;;Águas Lindas Shopping
;CAPA STAND CASE 11 PRO MAX;Capas;;4;R$ 15;R$ 30;;Águas Lindas Shopping
;CAPA STAND CASE 11;Capas;;3;R$ 15;R$ 30;;Águas Lindas Shopping
;CAPA STAND CASE ;Capas;;;R$ 15;R$ 30;;Águas Lindas Shopping
;CAPA STAND CASE 15 PRO MAX;Capas;;1;R$ 15;R$ 30;;Águas Lindas Shopping
;CAPA STAND CASE 15 PRO;Capas;;6;R$ 15;R$ 30;;Águas Lindas Shopping
;CAPA STAND CASE 15;Capas;;6;R$ 15;R$ 30;;Águas Lindas Shopping
;CAPA STAND CASE 16;Capas;;16;R$ 15;R$ 30;;Águas Lindas Shopping
;CAPA STAND CASE 13 PRO MAX;Capas;;1;R$ 15;R$ 30;;Águas Lindas Shopping
;CAPA STAND CASE 13 PRO;Capas;;2;R$ 15;R$ 30;;Águas Lindas Shopping
;CAPA STAND CASE 14 PRO;Capas;;1;R$ 15;R$ 30;;Águas Lindas Shopping
;CAPA STAND CASE 12 PRO MAX;Capas;;2;R$ 15;R$ 30;;Águas Lindas Shopping
;CAPA TURBO CASE 16 PRO;Capas;;1;R$ 18;R$ 30;;Águas Lindas Shopping
;CAPA TURBO CASE 16;Capas;;7;R$ 18;R$ 30;;Águas Lindas Shopping
;CASE LARANJA 17 PRO MAX;Capas;;9;R$ 25;R$ 50;;Águas Lindas Shopping
;CASE LARANJA 17 PRO;Capas;;8;R$ 25;R$ 50;;Águas Lindas Shopping
;CAPA EVOCLEAR 16 ;Capas;;2;R$ 25;R$ 50;;Águas Lindas Shopping
;CAPA EVOCLEAR 16 PRO ;Capas;;2;R$ 25;R$ 50;;Águas Lindas Shopping
;CAPA EVOCLEAR 17 PRO MAX;Capas;;4;R$ 25;R$ 50;;Águas Lindas Shopping
;CAPA EVOCLEAR 17 ;Capas;;1;R$ 25;R$ 50;;Águas Lindas Shopping
;CAPA MAGNETIC 16 PRO MAX;Capas;;10;R$ 30;R$ 60;;Águas Lindas Shopping
;CAPA MAGNETIC 15 PRO MAX;Capas;;5;R$ 30;R$ 60;;Águas Lindas Shopping
;CAPA SPACE 11;Capas;;2;R$ 8;R$ 30;;Águas Lindas Shopping
;CAPA SPACE 11 PRO MAX;Capas;;2;R$ 8;R$ 30;;Águas Lindas Shopping
;CAPA SPACE 12 PRO MAX;Capas;;3;R$ 8;R$ 30;;Águas Lindas Shopping
;CAPA SPACE 16 PRO MAX;Capas;;8;R$ 8;R$ 30;;Águas Lindas Shopping
;CAPA SPACE 14 PRO;Capas;;3;R$ 8;R$ 30;;Águas Lindas Shopping
;CAPA SPACE 16;Capas;;10;R$ 8;R$ 30;;Águas Lindas Shopping
;CAPA SPACE 14 ;Capas;;1;R$ 8;R$ 30;;Águas Lindas Shopping
;CAPA PREMIUN CASE 14;Capas;;5;R$ 18;R$ 30;;Águas Lindas Shopping
;CAPA PREMIUN CASE 13;Capas;;10;R$ 18;R$ 30;;Águas Lindas Shopping
;CAPA PREMIUN CASE 12/12PRO;Capas;;10;R$ 18;R$ 30;;Águas Lindas Shopping
;CAPA PREMIUN CASE 11;Capas;;7;R$ 18;R$ 30;;Águas Lindas Shopping
;CAPA PREMIUN CASE 16 PRO MAX;Capas;;5;R$ 18;R$ 30;;Águas Lindas Shopping
;CAPA PREMIUN CASE 17 PRO;Capas;;5;R$ 18;R$ 30;;Águas Lindas Shopping
;CAPA PREMIUN 16 PRO;Capas;;4;R$ 18;R$ 30;;Águas Lindas Shopping
;CAPA PREMIUN CASE 15 PRO MAX;Capas;;1;R$ 18;R$ 30;;Águas Lindas Shopping
;CAPA PREMIUN CASE 15;Capas;;1;R$ 18;R$ 30;;Águas Lindas Shopping
;CAPA CLAER CASE 17 PRO MAX;Capas;;3;R$ 25;R$ 50;;Águas Lindas Shopping
;CAPA CLEAR CASE 17 PRO;Capas;;6;R$ 25;R$ 50;;Águas Lindas Shopping
;CAPA CLEAR CASE 16 PRO MAX;Capas;;13;R$ 25;R$ 50;;Águas Lindas Shopping
;CAPA CLEAR CASE 15 PRO MAX;Capas;;10;R$ 25;R$ 50;;Águas Lindas Shopping
;CAPA CLEAR CASE 14 PRO MAX;Capas;;11;R$ 25;R$ 50;;Águas Lindas Shopping
;CAPA CLEAR CASE 14;Capas;;4;R$ 25;R$ 50;;Águas Lindas Shopping
;CAPA VIP TOP C/MAGSAFE  16 PRO MAX;Capas;;2;R$ 20;R$ 50;;Águas Lindas Shopping
;CAPA VIP TOP C/MAGSAFE 14 PRO MAX;Capas;;1;R$ 20;R$ 50;;Águas Lindas Shopping
;CAPA VIP TOP C/MAGSAFE 17 PRO;Capas;;5;R$ 20;R$ 50;;Águas Lindas Shopping
;CAPA AGGLAS 16 PRO MAX;Capas;;5;R$ 18;R$ 30;;Águas Lindas Shopping
;CAPA AGGLAS 13 PRO MAX;Capas;;3;R$ 18;R$ 30;;Águas Lindas Shopping
;CAPA AGGGLAS 14 PRO MAX;Capas;;2;R$ 18;R$ 30;;Águas Lindas Shopping
;CAPA TURU CASE 13 PRO;Capas;;6;R$ 15;R$ 30;;Águas Lindas Shopping
;CAPA TURU CASE 11;Capas;;6;R$ 15;R$ 30;;Águas Lindas Shopping
;CAPA TURU CASE 13;Capas;;4;R$ 15;R$ 30;;Águas Lindas Shopping
;CAPA TURU CASE 15;Capas;;5;R$ 15;R$ 30;;Águas Lindas Shopping
;CAPA TURU CASE 15 PRO MAX;Capas;;2;R$ 15;R$ 30;;Águas Lindas Shopping
;CAPA TURU CASE 16 PRO MAX;Capas;;1;R$ 15;R$ 30;;Águas Lindas Shopping
;CAPA TURU CASE 16 PRO;Capas;;1;R$ 15;R$ 30;;Águas Lindas Shopping
;CAPA TURU CASE 17 PRO MAX;Capas;;2;R$ 15;R$ 30;;Águas Lindas Shopping
;CAPA SMART IPAD 9;Capas;;6;R$ 35;R$ 70;;Águas Lindas Shopping
;CAPA C/TECLADO IPAD 9;Capas;;2;R$ 140;R$ 250;;Águas Lindas Shopping
;CAPA SMART IPAD 10/11;Capas;;5;R$ 35;R$ 70;;Águas Lindas Shopping
;CAPA GIRATORIA REDMI PAD SE ;Capas;;1;R$ 30;R$ 70;;Águas Lindas Shopping
;CAPA SMART REDMI PAD SE ;Capas;;3;R$ 35;R$ 70;;Águas Lindas Shopping
;CAPA GIRATORIA REDMI PAD SE ;Capas;;6;R$ 30;R$ 70;;Águas Lindas Shopping
;CAPA TPU REDMI PAD SE ;Capas;;2;R$ 8;R$ 30;;Águas Lindas Shopping
;CABO KIMASTER V8;Carregadores;;11;R$ 8;R$ 30;;Águas Lindas Shopping
;CABO KIMASTER TYPEC/LIGHTNING ;Carregadores;;10;R$ 8;R$ 30;;Águas Lindas Shopping
;CABO KIMASTER USB/LIGHTNING;Carregadores;;6;R$ 8;R$ 30;;Águas Lindas Shopping
;CABO KIMASTER USB/TYPEC;Carregadores;;8;R$ 8;R$ 30;;Águas Lindas Shopping
;CABO KIMASTER TYPEC/TYPEC;Carregadores;;14;R$ 8;R$ 30;;Águas Lindas Shopping
;CANETA MAXGOOD;Acessórios Apple ;;5;R$ 100;R$ 180;;Águas Lindas Shopping
;MOUSE GAMER ;Acessórios - Geral;;2;R$ 70;R$ 140;;Águas Lindas Shopping
;TECLADO DOBRAVEL;Periféricos ;;3;R$ 60;R$ 120;;Águas Lindas Shopping
;SUPORTE P/FONE ;Periféricos ;;3;R$ 30;R$ 60;;Águas Lindas Shopping
;KIT TECLADO E MOUSE ;Periféricos ;;4;R$ 65;R$ 120;;Águas Lindas Shopping
;TECLADO GAMER;Periféricos ;;3;R$ 70;R$ 140;;Águas Lindas Shopping
;FONE GAMER ;Periféricos ;;2;R$ 85;R$ 200;;Águas Lindas Shopping
;CABO KIMASTER USB/TYPEC;Carregadores;;6;R$ 8;R$ 30;;Águas Lindas Shopping
;FONTE ORIGINAL 35W;Carregadores;;1;R$ 155;R$ 255;C4H41068E6R2NH0C3;Águas Lindas Shopping
;FONTE ORIGINAL 35W;Carregadores;;1;R$ 155,00;R$ 255,00;C4H4106REUW2NH0CH;Águas Lindas Shopping
;FONTE ORIGINAL 35W;Carregadores;;1;R$ 155,00;R$ 255,00;C4H41067NCB2NH0CU;Águas Lindas Shopping
;FONTE ORIGINAL 35W;Carregadores;;1;R$ 155,00;R$ 255,00;C4H41062XJ92NH0CJ;Águas Lindas Shopping
;FONTE ORIGINAL APPLE;Carregadores;;1;R$ 91,00;R$ 150,00;SC4H51121XDGPK84A9;Águas Lindas Shopping
;FONTE ORIGINAL APPLE;Carregadores;;1;R$ 91,00;R$ 150,00;SC4H51121F8CPK84AA;Águas Lindas Shopping
;FONTE ORIGINAL APPLE;Carregadores;;1;R$ 91,00;R$ 150,00;SC4H51121MY4PK84A8;Águas Lindas Shopping
;FONTE ORIGINAL APPLE;Carregadores;;1;R$ 91,00;R$ 150,00;SC4H511222ASPK84A0;Águas Lindas Shopping
;CONTROLE PS5 PRETO;Acessórios - Geral;;1;R$ 460,00;R$ 560,00;100003936;Águas Lindas Shopping
;CONTROLE PS5 BRANCO;Acessórios - Geral;;1;R$ 460;R$ 560,00;100003935;Águas Lindas Shopping
;JBL CLIP 5;Áudio;;1;R$ 350,00;R$ 450,00;DH0100-IP0325771;Águas Lindas Shopping
;JBL CLIP 5;Áudio;;1;R$ 350,00;R$ 450,00;DT0163-JP0036149;Águas Lindas Shopping
;JBL BOOMBOX 4;Áudio;;1;R$ 2.280,00;R$ 2.380,00;TL1876-LP0133687;Águas Lindas Shopping
;0;;;;;;;Águas Lindas Shopping
;JBL TUNE 500;Áudio;;1;R$ 85,00;R$ 149,00;TL0701-JL0547944;Águas Lindas Shopping
;JBL TUNE 500;Áudio;;1;R$ 126,87;R$ 149,00;MM0082-DO1825840;Águas Lindas Shopping
;JBL TUNE 500;Áudio;;1;R$ 126,87;R$ 149,00;MM0082-DO1826751;Águas Lindas Shopping
;JBL TUNE 500;Áudio;;1;R$ 126,87;R$ 149,00;MM0082-DO1825488;Águas Lindas Shopping
